region,asset,listed,name,symbol,update_dttm,last_page,summary,sector,industry,forum
KR,Equity,KOSDAQ,픽셀플러스,A087600,,,"{'company': ['픽셀플러스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,동아엘텍,A088130,,,"{'company': ['동아엘텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,이원컴포텍,A088290,,,"{'company': ['이원컴포텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,한화생명,A088350,,,"{'company': ['한화생명'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,이녹스,A088390,,,"{'company': ['이녹스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,진도,A088790,,,"{'company': ['진도'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,에이스테크,A088800,,,"{'company': ['에이스테크'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,동우팜투테이블,A088910,,,"{'company': ['동우팜투테이블'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,켐트로닉스,A089010,,,"{'company': ['켐트로닉스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,테크윙,A089030,,,"{'company': ['테크윙'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,넥스턴바이오,A089140,20220615 082547,,"{'company': ['넥스턴바이오'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,케이씨티,A089150,,,"{'company': ['케이씨티'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,THE E&M,A089230,,,"{'company': ['THE E&M'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,HDC현대EP,A089470,,,"{'company': ['HDC현대EP'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,에이티세미콘,A089530,,,"{'company': ['에이티세미콘'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,제주항공,A089590,,,"{'company': ['제주항공'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,나스미디어,A089600,,,"{'company': ['나스미디어'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,제이티,A089790,,,"{'company': ['제이티'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,유비벨록스,A089850,,,"{'company': ['유비벨록스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,코세스,A089890,,,"{'company': ['코세스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,에이피티씨,A089970,,,"{'company': ['에이피티씨'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,상아프론테크,A089980,,,"{'company': ['상아프론테크'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,평화산업,A090080,,,"{'company': ['평화산업'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,아이윈,A090150,20220615 082547,,"{'company': ['아이윈'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,노루페인트,A090350,,,"{'company': ['노루페인트'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,로보스타,A090360,,,"{'company': ['로보스타'], 'details': [], 'execs': []}",,,
